original_path,new_filename,code,name
ICEBERG WHITE - FWI-04-101.pdf,UNKNOWNCODE UNKNOWN.pdf,UNKNOWNCODE,UNKNOWN
IVORY WHITE - FWI-04-102.pdf,UNKNOWNCODE UNKNOWN.pdf,UNKNOWNCODE,UNKNOWN
CREAM - FWI-04-103.pdf,FWI-04-101 ICEBERG WHITE.pdf,FWI-04-101,ICEBERG WHITE
WHEAT - FWI-04-106.pdf,FWI-04-102 IVORY WHITE.pdf,FWI-04-102,IVORY WHITE
TWILIGHT GRAY - FWI-04-104.pdf,UNKNOWNCODE CREAM.pdf,UNKNOWNCODE,CREAM
EARTH BROWN - FWI-04-105.pdf,UNKNOWNCODE WHEAT.pdf,UNKNOWNCODE,WHEAT
WHEAT MATT - FWI-10-106.pdf,FWI-04-104 TWILIGHT GRAY.pdf,FWI-04-104,TWILIGHT GRAY
PURE GRAY - FWI-04-107.pdf,FWI-04-105 EARTH BROWN.pdf,FWI-04-105,EARTH BROWN
FANTASY BLUE - FWI-04-108.pdf,FWI-10-106 MADE IN UAE.pdf,FWI-10-106,MADE IN UAE
OLIVE GREEN - FWI-04-109.pdf,FWI-04-107 PURE GRAY.pdf,FWI-04-107,PURE GRAY
SPACE GRAY - FWI-04-110.pdf,FWI-04-108 FANTASY BLUE.pdf,FWI-04-108,FANTASY BLUE
COFFEE LATTE - FWI-04-111.pdf,FWI-04-109 OLIVE GREEN.pdf,FWI-04-109,OLIVE GREEN
ACACIA GRAY - FWI-04-113.pdf,FWI-04-110 SPACE GRAY.pdf,FWI-04-110,SPACE GRAY
MILAN GRAY - FWI-04-114.pdf,FWI-04-111 COFFEE LATTE.pdf,FWI-04-111,COFFEE LATTE
IVORY GRAY - FWI-04-115.pdf,FWI-04-113 ACACIA GRAY.pdf,FWI-04-113,ACACIA GRAY
CARDAMOM GREEN - FWI-04-116.pdf,FWI-04-114 MILAN GRAY.pdf,FWI-04-114,MILAN GRAY
PUMPKIN RED - FWI-04-117.pdf,FWI-04-115 IVORY GRAY.pdf,FWI-04-115,IVORY GRAY
CARMINE RED - FWI-04-118.pdf,FWI-04-116 CARDAMOM GREEN.pdf,FWI-04-116,CARDAMOM GREEN
PINE GRAY - FWI-04-119.pdf,FWI-04-117 PUMPKIN RED.pdf,FWI-04-117,PUMPKIN RED
GENTLEMAN GRAY - FWI-04-120.pdf,FWI-04-118 CARMINE RED.pdf,FWI-04-118,CARMINE RED
SAPPHIRE BLUE - FWI-04-121.pdf,FWI-04-119 PINE GRAY.pdf,FWI-04-119,PINE GRAY
